article_id;title;speaking_url
100107;Asset- vs. Service-based Business Models – Where Lies The Future For Utilities?;articles/detailed/d06be7e36131003f850abeb836621a40/asset-vs-service-based-business-models-where-lies-the-future-for-utilities/
100107;Asset- vs. Service-based Business Models – Where Lies The Future For Utilities?;articles/detailed//asset-vs-service-based-business-models-where-lies-the-future-for-utilities/
100108;ICP: Top 2 benefits for energy efficiency project developers;articles/detailed/53342740eae28d5ee08e107a0b057533/icp-top-2-benefits-for-energy-efficiency-project-developers/
100108;ICP: Top 2 benefits for energy efficiency project developers;articles/detailed//icp-top-2-benefits-for-energy-efficiency-project-developers/
100109;5 steps for a robust energy strategy;articles/detailed/219bd012d74c75756eb8340db1aa8b40/5-steps-for-a-robust-energy-strategy/
100109;5 steps for a robust energy strategy;articles/detailed//5-steps-for-a-robust-energy-strategy/
100110;Blockchain: The basis for disruptive innovation in the energy sector?;articles/detailed/2ad5e5e796553f1bdd6dd6c572079e1c/blockchain-the-basis-for-disruptive-innovation-in-the-energy-sector/
100110;Blockchain: The basis for disruptive innovation in the energy sector?;articles/detailed//blockchain-the-basis-for-disruptive-innovation-in-the-energy-sector/
100111;Roundtable on Financing Industrial Energy Efficiency, October 19th;articles/detailed/8865f58cbd4f7bb32fbb571d57021057/roundtable-on-financing-industrial-energy-efficiency-october-19th/
100111;Roundtable on Financing Industrial Energy Efficiency, October 19th;articles/detailed//roundtable-on-financing-industrial-energy-efficiency-october-19th/
100112;New recording of energy performance contracts (EPCs) in government accounts;articles/detailed/0c019c0356111894cc5769d5686d8980/new-recording-of-energy-performance-contracts-epcs-in-government-accounts/
100112;New recording of energy performance contracts (EPCs) in government accounts;articles/detailed//new-recording-of-energy-performance-contracts-epcs-in-government-accounts/
100113;Artificial Intelligence in Energy Management Software;articles/detailed//artificial-intelligence-in-energy-management-software/
100113;Artificial Intelligence in Energy Management Software;news-articles-energy-efficiency-in-industrial-processes/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software/
100113;Artificial Intelligence in Energy Management Software;articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software/
100114;Open now: The Energy Efficiency Barometer of Industry - a tool to enhance industrial energy productivity;articles/detailed/d001b838ce98ab941dfa2723129fb7e9/open-now-the-energy-efficiency-barometer-of-industry-a-tool-to-enhance-industrial-energy-productiv/
100114;Open now: The Energy Efficiency Barometer of Industry - a tool to enhance industrial energy productivity;articles/detailed//open-now-the-energy-efficiency-barometer-of-industry-a-tool-to-enhance-industrial-energy-productiv/
100114;Open now: The Energy Efficiency Barometer of Industry - a tool to enhance industrial energy productivity;news-articles-energy-efficiency-in-industrial-processes/detailed/d001b838ce98ab941dfa2723129fb7e9/open-now-the-energy-efficiency-barometer-of-industry-a-tool-to-enhance-industrial-energy-producti/
100114;Open now: The Energy Efficiency Barometer of Industry - a tool to enhance industrial energy productivity;articles/detailed/d001b838ce98ab941dfa2723129fb7e9/open-now-the-energy-efficiency-barometer-of-industry-a-tool-to-enhance-industrial-energy-producti/
100114;Open now: The Energy Efficiency Barometer of Industry - a tool to enhance industrial energy productivity;articles/detailed//open-now-the-energy-efficiency-barometer-of-industry-a-tool-to-enhance-industrial-energy-producti/
100115;Towards Zero Emission Mobility in European Transport;articles/detailed//towards-zero-emission-mobility-in-european-transport/
100115;Towards Zero Emission Mobility in European Transport;news-articles-energy-efficiency-in-industrial-processes/detailed/78a9d50fede89cc692e4350d1286de25/towards-zero-emission-mobility-in-european-transport/
100115;Towards Zero Emission Mobility in European Transport;articles/detailed/78a9d50fede89cc692e4350d1286de25/towards-zero-emission-mobility-in-european-transport/
100116;Industry at crossroads - reflections from EEFIG industry event;articles/detailed//industry-at-crossroads-reflections-from-eefig-industry-event/
100116;Industry at crossroads - reflections from EEFIG industry event;news-articles-energy-efficiency-in-industrial-processes/detailed/ff284a1de13cddc93dd350c27d9fd84e/industry-at-crossroads-reflections-from-eefig-industry-event/
100116;Industry at crossroads - reflections from EEFIG industry event;articles/detailed/ff284a1de13cddc93dd350c27d9fd84e/industry-at-crossroads-reflections-from-eefig-industry-event/
100117;Standards for industrial energy efficiency projects - the importance of technical integrity;articles/detailed//standards-for-industrial-energy-efficiency-projects-the-importance-of-technical-integrity/
100117;Standards for industrial energy efficiency projects - the importance of technical integrity;news-articles-energy-efficiency-in-industrial-processes/detailed/57e9f1ab9bf8eb968ae3d9d8459df290/standards-for-industrial-energy-efficiency-projects-the-importance-of-technical-integrity/
100117;Standards for industrial energy efficiency projects - the importance of technical integrity;articles/detailed/57e9f1ab9bf8eb968ae3d9d8459df290/standards-for-industrial-energy-efficiency-projects-the-importance-of-technical-integrity/
100118;Energy Data Insights: The Missing “Smart Step” to Better Building Performance;articles/detailed/f94a813bf7ff710fc32bd432d50614d0/energy-data-insights-the-missing-smart-step-to-better-building-performance/
100119;Street Lighting: help us unlock access to financing - we need your technical knowledge;articles/detailed/cd1f96b1d394443932e9fda5c8ad32ce/street-lighting-help-us-unlock-access-to-financing-we-need-your-technical-knowledge/
100120;Energy Flexibility Initiative from the University of Stuttgart;articles/detailed/ca964c970447bfe0721c763ab4b2b43c/energy-flexibility-initiative-from-the-university-of-stuttgart/
100121;Raising the priority for industrial energy efficiency;articles/detailed/c653946ab00df5f2c3765f23d4b0e4cf/raising-the-priority-for-industrial-energy-efficiency/
100122;Increasing the flow of investment into energy efficiency in industry;articles/detailed/59437edb599db413f5d0d5340a716497/increasing-the-flow-of-investment-into-energy-efficiency-in-industry/
100123;The technical potential of large and industrial heat pumps;articles/detailed/87f4ab4b1d6c3c767a9dcae1e30b0808/the-technical-potential-of-large-and-industrial-heat-pumps/
100124;6 principles for a market design that enables the energy transition;articles/detailed/1a0f1159f5c75ae1b96b30b4ed4f3c5a/6-principles-for-a-market-design-that-enables-the-energy-transition/
